Year,Tm,Player,Pos,College/Univ
1960,HOU,Doug Cline,LB,Clemson
1960,HOU,Stan Fanning,T,Idaho
1960,HOU,Dave Graham,T,Virginia
1960,HOU,Jacky Lee,QB,Cincinnati
1960,HOU,Bruce Maher,DB,Detroit Mercy
1960,HOU,Jim Marshall,DE,Ohio St.
1960,HOU,Mike McGee,G,Duke
1960,HOU,Hugh McInnis,TE,Southern Miss
1960,HOU,Max Messner,LB,Cincinnati
1960,HOU,Ron Morrison,DT,New Mexico
1960,HOU,Paul Oglesby,T,UCLA
1960,HOU,Gene Prebola,TE,Boston Univ.
1960,HOU,Palmer Pyle,G,Michigan St.
1960,HOU,Bob Simms,LB,Rutgers
1960,HOU,Bob Talamini,G,Kentucky
1960,HOU,Bobby Towns,DB,Georgia
1960,HOU,Jim Welch,DB,SMU
1960,HOU,Bob White,FB,Ohio St.
1960,HOU,Maury Youmans,DE,Syracuse
1960,HOU,Pete Arena,G,Northwestern
1960,HOU,Steve Johnson,QB,Pepperdine
1960,HOU,John Lands,E,Montana
1960,HOU,Don Mattson,T,USC
1960,HOU,George Mulholland,E,New Mexico St.
1960,HOU,Gary O'Steen,HB,Alabama
1960,HOU,William Roach,T,TCU
1960,HOU,Philip Snowden,QB,Missouri
1960,HOU,Don Underwood,G,McNeese St.
1960,HOU,Duane Whetstone,FB,George Washington
1960,HOU,Clair Branch,HB,Texas
1960,HOU,Bill Bohler,E,St. Ambrose
1960,HOU,Dave Chamberlain,HB,Miami (OH)
1960,HOU,Don Cochran,T,Alabama
1960,HOU,Jim Glasgow,T,Jackson St.
1960,HOU,Bob Haas,HB,Missouri
1960,HOU,Lowell Hughes,QB,Kent St.
1960,HOU,Dale Johannson,T,Augustana (SD)
1960,HOU,Jerry Muennink,C,Texas
1960,HOU,John Peppercorn,E,Kansas
1960,HOU,Bob Peterson,C,Oregon
1960,HOU,Bob Wasden,E,Auburn
1960,HOU,Larry Cadwell,G,Louisville
1960,HOU,Jim Wolff,HB,Panhandle State (OK)
1960,HOU,DeJustice Coleman,HB,Illinois
1960,HOU,Bob Crandall,HB,New Mexico
1960,HOU,Cleatus Drinnon,C,Hardin-Simmons
1960,HOU,John Gremer,G,Illinois
1960,HOU,George Herring,G,North Texas
1960,HOU,Don Hitt,C,Oklahoma St.
1960,OAK,Pervis Atkins,FL,New Mexico St.
1960,OAK,Al Bansavage,LB,USC
1960,OAK,Maxie Baughan,LB,Georgia Tech
1960,OAK,Walter Beach,DB,Central Michigan
1960,OAK,Johnny Brewer,TE,Mississippi
1960,OAK,Joe Cannavino,DB,Ohio St.
1960,OAK,Carmen Cavalli,DE,Richmond
1960,OAK,Don Churchwell,DT,Mississippi
1960,OAK,Don Deskins,DT,Michigan
1960,OAK,Leon Dombrowski,LB,Delaware
1960,OAK,Dale Hackbart,DB,Wisconsin
