# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1884,1884-11-15,Albion (MI),0,Michigan,18
1884,1884-11-15,Johns Hopkins (MD),0,Pennsylvania,33
1884,1884-11-15,Lafayette (PA),4,Stevens Tech (NJ),17
1884,1884-11-19,Harvard (MA),6,Princeton (NJ),36
1884,1884-11-22,Harvard (MA),0,Yale (CT),52
1884,1884-11-27,Johns Hopkins (MD),6,Navy (MD),9
1884,1884-11-27,Lafayette (PA),0,Stevens Tech (NJ),52
1884,1884-11-27,Princeton (NJ),0,Yale (CT),0
1885,1885-10-03,Amherst (MA),0,Massachusetts,4
1885,1885-10-03,Princeton (NJ),94,Stevens Tech (NJ),0
1885,1885-10-05,Amherst (MA),0,Massachusetts,0
1885,1885-10-07,Amherst (MA),0,Massachusetts,12
1885,1885-10-10,Lehigh (PA),0,Pennsylvania,54
1885,1885-10-10,Yale (CT),55,Stevens Tech (NJ),0
1885,1885-10-14,Pennsylvania,68,Swarthmore (PA),6
1885,1885-10-14,Princeton (NJ),76,Stevens Tech (NJ),0
1885,1885-10-24,Lafayette (PA),16,Stevens Tech (NJ),12
1885,1885-10-24,Pennsylvania,0,Princeton (NJ),57
1885,1885-10-28,Lafayette (PA),22,Pennsylvania,30
1885,1885-10-31,Lafayette (PA),6,Lehigh (PA),0
1885,1885-10-31,Pennsylvania,10,Princeton (NJ),80
1885,1885-11-04,Amherst (MA),8,Massachusetts,0
1885,1885-11-04,Lafayette (PA),10,Pennsylvania,54
1885,1885-11-07,Lehigh (PA),4,Stevens Tech (NJ),20
1885,1885-11-11,Johns Hopkins (MD),0,Princeton (NJ),10
1885,1885-11-11,Lafayette (PA),23,Stevens Tech (NJ),18
1885,1885-11-14,Lehigh (PA),10,Rutgers (NJ),5
1885,1885-11-14,Pennsylvania,5,Yale (CT),53
1885,1885-11-18,Lehigh (PA),0,Pennsylvania,35
1885,1885-11-21,Lafayette (PA),6,Lehigh (PA),6
1885,1885-11-21,Pennsylvania,22,Stevens Tech (NJ),9
1885,1885-11-21,Princeton (NJ),6,Yale (CT),5
1885,1885-11-26,Johns Hopkins (MD),12,Navy (MD),8
