# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Arizona State,2008,5,7,0,,,,history
Arizona State,2009,4,8,0,,,,history
Arizona State,2010,6,6,0,,,,history
Arizona State,2011,6,7,0,,,,history
Arizona State,2012,8,5,0,,,,history
Arizona State,2013,10,4,0,,,,history
Arizona State,2014,10,3,0,,,,history
Arizona State,2015,6,7,0,,,,history
Arizona State,2016,5,7,0,,,,history
Arizona State,2017,7,6,0,,,,history
Arizona State,2018,7,6,0,,,,history
Arizona State,2019,8,5,0,,,,history
Arizona State,2020,2,2,0,,,,history
Arizona State,2021,8,5,0,8,0,Edwards,history
Arizona State,2022,3,9,0,2,0,Edwards,history
Arizona State,2023,3,9,0,,,,history
Arizona State,2024,11,3,0,,,,history
Arizona State,2025,8,5,0,,,,history
Arkansas,1935,177,122,21,,,,ncaa
Arkansas,1936,7,3,0,,,,history
Arkansas,1937,6,2,2,,,,history
Arkansas,1938,2,7,1,,,,history
Arkansas,1939,4,5,1,,,,history
Arkansas,1940,4,6,0,,,,history
Arkansas,1941,3,7,0,,,,history
Arkansas,1942,3,7,0,,,,history
Arkansas,1943,2,7,0,,,,history
Arkansas,1944,5,5,1,,,,history
Arkansas,1945,3,7,0,,,,history
Arkansas,1946,6,3,2,,,,history
Arkansas,1947,6,4,1,,,,history
Arkansas,1948,5,5,0,,,,history
Arkansas,1949,5,5,0,,,,history
Arkansas,1950,2,8,0,,,,history
Arkansas,1951,5,5,0,,,,history
Arkansas,1952,2,8,0,,,,history
Arkansas,1953,3,7,0,,,,history
Arkansas,1954,8,3,0,,,,history
Arkansas,1955,5,4,1,,,,history
Arkansas,1956,6,4,0,,,,history
Arkansas,1957,6,4,0,,,,history
Arkansas,1958,4,6,0,,,,history
Arkansas,1959,9,2,0,,,,history
Arkansas,1960,8,3,0,,,,history
Arkansas,1961,8,3,0,,,,history
Arkansas,1962,9,2,0,,,,history
Arkansas,1963,5,5,0,,,,history
Arkansas,1964,11,0,0,,,,history
Arkansas,1965,10,1,0,,,,history
Arkansas,1966,8,2,0,,,,history
Arkansas,1967,4,5,1,,,,history
Arkansas,1968,10,1,0,,,,history
Arkansas,1969,9,2,0,,,,history
Arkansas,1970,9,2,0,,,,history
Arkansas,1971,8,3,1,,,,history
Arkansas,1972,6,5,0,,,,history
Arkansas,1973,5,5,1,,,,history
Arkansas,1974,6,4,1,,,,history
Arkansas,1975,10,2,0,,,,history
Arkansas,1976,5,5,1,,,,history
Arkansas,1977,11,1,0,,,,history
Arkansas,1978,9,2,1,,,,history
Arkansas,1979,10,2,0,,,,history
Arkansas,1980,7,5,0,,,,history
Arkansas,1981,8,4,0,,,,history
Arkansas,1982,9,2,1,,,,history
Arkansas,1983,6,5,0,,,,history
Arkansas,1984,7,4,1,,,,history
Arkansas,1985,10,2,0,,,,history
Arkansas,1986,9,3,0,,,,history
Arkansas,1987,9,4,0,,,,history
Arkansas,1988,10,2,0,,,,history
Arkansas,1989,10,2,0,,,,history
Arkansas,1990,3,8,0,,,,history
Arkansas,1991,6,6,0,,,,history
Arkansas,1992,3,7,1,,,,history
Arkansas,1993,5,5,1,,,,history
Arkansas,1994,4,7,0,,,,history
Arkansas,1995,8,5,0,,,,history
Arkansas,1996,4,7,0,,,,history
Arkansas,1997,4,7,0,,,,history
Arkansas,1998,9,3,0,,,,history
Arkansas,1999,8,4,0,,,,history
Arkansas,2000,6,6,0,,,,history
Arkansas,2001,7,5,0,,,,history
Arkansas,2002,9,5,0,,,,history
Arkansas,2003,9,4,0,,,,history
Arkansas,2004,5,6,0,,,,history
Arkansas,2005,4,7,0,,,,history
Arkansas,2006,10,4,0,,,,history
Arkansas,2007,8,5,0,,,,history
Arkansas,2008,5,7,0,,,,history
Arkansas,2009,8,5,0,,,,history
Arkansas,2010,10,3,0,,,,history
Arkansas,2011,11,2,0,,,,history
Arkansas,2012,4,8,0,,,,history
Arkansas,2013,3,9,0,,,,history
