school,season,wins,losses,ties,source
Alcorn State,2008,2,10,0,cfbd
Alcorn State,2009,3,6,0,cfbd
Alcorn State,2010,5,5,0,cfbd
Alcorn State,2011,2,8,0,cfbd
Alcorn State,2012,4,7,0,cfbd
Alcorn State,2013,8,3,0,cfbd
Alcorn State,2014,10,3,0,cfbd
Alcorn State,2015,8,3,0,cfbd
Alcorn State,2016,5,6,0,cfbd
Alcorn State,2017,7,5,0,cfbd
Alcorn State,2018,9,4,0,cfbd
Alcorn State,2019,9,4,0,cfbd
Alcorn State,2021,6,5,0,cfbd
Alcorn State,2022,5,6,0,cfbd
Alcorn State,2023,7,4,0,cfbd
Alcorn State,2024,6,6,0,cfbd
Alcorn State,2025,5,7,0,cfbd
Alcorn State,2026,0,0,0,cfbd
Alderson-Broaddus,2014,0,2,0,cfbd
Alderson-Broaddus,2015,0,1,0,cfbd
Alderson-Broaddus,2016,1,0,0,cfbd
Alderson-Broaddus,2017,0,0,0,cfbd
Alderson-Broaddus,2018,0,0,0,cfbd
Alderson-Broaddus,2019,0,0,0,cfbd
Alderson-Broaddus,2020,0,3,0,cfbd
Alderson-Broaddus,2021,1,10,0,cfbd
Alderson-Broaddus,2022,0,11,0,cfbd
Alderson-Broaddus,2023,0,0,5,cfbd
Alderson-Broaddus,2024,0,0,0,cfbd
Alderson-Broaddus,2025,0,0,0,cfbd
Alderson-Broaddus,2026,0,0,0,cfbd
Alfred,2014,0,0,0,cfbd
Alfred,2015,0,0,0,cfbd
Alfred,2016,0,0,0,cfbd
Alfred,2017,0,0,0,cfbd
Alfred,2018,0,0,0,cfbd
Alfred,2019,0,0,0,cfbd
Alfred,2020,1,1,0,cfbd
Alfred,2021,0,0,0,cfbd
Alfred,2022,2,8,0,cfbd
Alfred,2023,4,6,0,cfbd
Alfred,2024,7,3,0,cfbd
Alfred,2025,4,6,0,cfbd
Alfred,2026,0,0,0,cfbd
Alfred State,2014,0,0,0,cfbd
Alfred State,2015,0,0,0,cfbd
Alfred State,2016,0,0,0,cfbd
Alfred State,2017,0,0,0,cfbd
Alfred State,2018,0,0,0,cfbd
Alfred State,2019,0,0,0,cfbd
Alfred State,2020,0,0,0,cfbd
Alfred State,2021,0,0,0,cfbd
Alfred State,2022,5,5,0,cfbd
Alfred State,2023,6,5,0,cfbd
Alfred State,2024,4,6,0,cfbd
Alfred State,2025,5,5,0,cfbd
Alfred State,2026,0,0,0,cfbd
Allegheny,2014,0,0,0,cfbd
Allegheny,2015,0,0,0,cfbd
Allegheny,2016,0,0,0,cfbd
Allegheny,2017,0,0,0,cfbd
Allegheny,2018,0,0,0,cfbd
